,Média,Mediana,Desvio Padrão,Mínimo,Máximo,Q1 (25%),Q3 (75%),IQR,Coef. Variação
Temperatura (°C),27.88285519125683,26.8,3.141732951384005,22.3,37.1,25.3,30.5,5.199999999999999,11.267615636325337
Umidade (%),82.15630692167578,86.0,14.320156358357607,36.0,99.0,71.0,95.0,24.0,17.43037983926154
Precipitação (mm),0.3625,0.0,2.3471603551726314,0.0,57.0,0.0,0.0,0.0,647.4925117717604
Pressão (mB),1008.8774134790527,1008.9,1.850931581955369,1002.9,1014.3,1007.6,1010.2,2.6000000000000227,0.18346446825214807
Velocidade do Vento (m/s),1.2610952977342595,1.2,0.8993264175919238,0.0,5.2,0.5,1.9,1.4,71.31312115806743
Radiação Solar (Kj/m²),720.671618852459,24.0,1024.2078394793336,0.0,3700.1,0.0,1434.075,1434.075,142.11852009798886
