,precip_total_sum_mm,temp_mean_c,temp_max_c,temp_min_c
2024-04-14,47.6,25.854166666666668,29.7,24.5
2024-04-15,0.8,27.383333333333336,33.0,24.0
2024-04-16,9.4,27.633333333333336,33.1,24.6
2024-04-17,2.8000000000000003,27.820833333333336,33.1,25.1
2024-04-18,2.8,26.958333333333332,31.6,25.0
2024-04-19,41.2,26.770833333333332,32.4,25.2
2024-04-20,21.0,27.329166666666666,33.2,24.9
2024-04-21,21.799999999999997,26.875,32.8,24.0
2024-04-22,0.8,26.925,31.5,24.3
2024-04-23,2.0,27.8875,34.0,24.5
2024-04-24,0.6000000000000001,27.1375,33.1,24.8
2024-04-25,46.6,26.733333333333334,30.3,25.5
2024-04-26,18.400000000000002,27.0,32.7,23.4
2024-04-27,22.4,26.516666666666666,30.5,24.8
2024-04-28,1.0,26.525000000000002,30.6,24.3
2024-04-29,19.4,27.266666666666666,32.1,24.7
2024-04-30,2.2,27.375,33.3,24.8
2024-05-01,5.0,26.679166666666664,32.0,24.9
2024-05-02,10.0,27.429166666666664,33.7,24.6
2024-05-03,6.6,27.912499999999998,34.5,25.1
2024-05-04,9.6,27.333333333333332,33.4,25.1
2024-05-05,3.8,27.366666666666664,32.6,24.7
2024-05-06,10.200000000000001,27.420833333333334,33.3,25.2
2024-05-07,21.799999999999997,26.995833333333334,31.3,24.8
2024-05-08,1.8,28.116666666666664,33.7,25.1
2024-05-09,54.8,27.65416666666667,33.7,25.1
2024-05-10,18.599999999999998,26.837500000000002,32.7,24.5
2024-05-11,0.2,27.275000000000002,33.4,24.1
2024-05-12,0.0,27.754166666666666,31.7,25.8
2024-05-13,7.4,27.625,32.9,25.0
2024-05-14,3.6,27.641666666666666,33.2,24.8
2024-05-15,14.6,27.445833333333336,34.3,24.1
2024-05-16,9.6,27.1875,33.1,24.9
2024-05-17,17.0,26.491666666666664,33.1,24.9
2024-05-18,1.8,27.15833333333333,32.7,24.7
2024-05-19,0.2,27.900000000000002,32.9,24.2
2024-05-20,3.8,28.0,33.8,24.9
2024-05-21,9.799999999999999,27.816666666666666,33.2,24.7
2024-05-22,0.2,28.183333333333334,33.2,24.9
2024-05-23,0.2,28.266666666666666,33.2,25.2
2024-05-24,7.4,28.02916666666667,33.2,25.1
2024-05-25,5.6,27.59583333333333,33.3,25.0
2024-05-26,12.0,27.445833333333336,33.0,25.1
2024-05-27,32.2,26.816666666666666,32.7,24.5
2024-05-28,0.2,28.175,33.3,24.6
2024-05-29,46.6,27.933333333333334,33.5,24.7
2024-05-30,17.4,27.395833333333332,33.1,24.8
2024-05-31,16.4,27.245833333333334,32.4,24.5
2024-06-01,31.200000000000003,27.412499999999998,32.9,24.2
2024-06-02,11.4,27.733333333333334,32.9,24.6
2024-06-03,13.6,26.875,32.4,24.2
2024-06-04,1.0,27.375,32.9,24.4
2024-06-05,0.2,28.47083333333333,34.0,24.6
2024-06-06,8.2,28.145833333333332,33.2,24.4
2024-06-07,5.0,27.979166666666668,32.7,25.3
2024-06-08,16.799999999999997,27.629166666666666,32.7,25.2
2024-06-09,35.4,27.454166666666666,33.2,24.2
2024-06-10,15.6,25.795833333333334,30.4,23.8
2024-06-11,1.6,27.020833333333332,32.8,23.9
2024-06-12,0.0,27.954166666666666,32.8,24.3
2024-06-13,13.600000000000001,28.28333333333333,32.8,24.9
2024-06-14,1.2000000000000002,27.90416666666667,32.7,24.9
2024-06-15,0.0,27.883333333333336,32.0,24.4
2024-06-16,0.0,28.27916666666667,32.6,24.6
2024-06-17,9.0,27.754166666666666,32.9,24.0
2024-06-18,4.199999999999999,27.858333333333334,32.6,24.4
2024-06-19,0.0,28.4875,33.1,24.4
2024-06-20,0.0,28.34583333333333,32.9,24.7
2024-06-21,29.599999999999998,27.379166666666666,32.8,24.3
2024-06-22,0.2,28.058333333333334,32.8,24.6
2024-06-23,0.0,27.933333333333334,32.2,24.1
2024-06-24,13.8,27.116666666666664,32.3,24.2
2024-06-25,1.6,27.05,32.9,24.0
2024-06-26,0.2,27.433333333333334,32.0,23.8
2024-06-27,0.0,27.508333333333336,32.3,24.0
2024-06-28,0.0,27.429166666666664,32.4,24.0
2024-06-29,1.4,28.208333333333332,33.2,23.7
2024-06-30,0.0,28.483333333333334,33.0,24.5
2024-07-01,10.4,27.625,32.9,24.4
2024-07-02,0.2,27.53333333333333,32.3,24.2
2024-07-03,0.8,27.416666666666668,31.7,24.5
2024-07-04,9.6,27.433333333333334,33.1,23.5
2024-07-05,2.2,27.995833333333334,32.9,24.6
2024-07-06,0.0,28.212500000000002,32.2,24.3
2024-07-07,0.0,28.15416666666667,33.3,23.7
2024-07-08,0.0,28.204166666666666,33.3,24.8
2024-07-09,0.0,28.358333333333334,33.4,25.0
2024-07-10,0.0,28.204166666666666,32.2,24.5
2024-07-11,0.0,28.15416666666667,33.3,23.7
2024-07-12,0.0,27.395833333333332,32.1,24.6
2024-07-13,0.0,28.412499999999998,34.1,24.0
2024-07-14,0.4,28.183333333333334,33.7,24.4
2024-07-15,0.0,28.633333333333336,33.6,24.2
2024-07-16,0.0,28.779166666666665,34.2,24.4
2024-07-17,0.0,28.900000000000002,34.8,24.3
2024-07-18,0.0,28.8125,34.2,24.9
2024-07-19,0.0,28.9875,34.8,24.6
2024-07-20,0.0,29.349999999999998,35.2,24.8
2024-07-21,0.0,29.07083333333333,34.4,24.2
2024-07-22,0.0,29.079166666666666,34.5,24.4
2024-07-23,0.0,28.962500000000002,34.7,24.8
2024-07-24,0.0,29.25,35.0,25.5
2024-07-25,0.4,29.087500000000002,34.4,25.1
2024-07-26,0.0,28.708333333333332,34.0,23.7
2024-07-27,0.0,28.6875,34.2,23.1
2024-07-28,8.6,28.416666666666668,34.2,23.8
2024-07-29,4.2,28.0125,34.0,24.1
